what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1333410290407
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1333410290485
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.navigate.backwardHistory",1333410290587
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1333410296129
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1333410296543
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1333410296544
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.close",1333410296565
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1333410392809
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1333410393076
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1333410395364
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1333410401811
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1333410407236
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1333410408582
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1333410412494
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1333410414577
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1333410417338
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.edit.text.java.format",1333410485317
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1333410486459
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333410490164
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333410490594
executed,command,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.project.cleanAction",1333410490713
error,log,,,"Unexpected error while validating OAuthConsumerInfoManager.java",1333410491273
error,log,,,"Unexpected error while validating FlickrServerConstants.java",1333410491275
error,log,,,"Unexpected error while validating FlickrHelper.java",1333410491277
error,log,,,"Unexpected error while validating FlickrAPIOAuth.java",1333410491279
error,log,,,"Unexpected error while validating FlickrPhotoDAOImpl.java",1333410491281
error,log,,,"Unexpected error while validating ProcessPhotosetActionController.java",1333410491282
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1333410497429
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1333410505181
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1333410505588
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1333410506328
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1333410507347
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.navigate.linkWithEditor",1333410507490
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.navigate.linkWithEditor",1333410507577
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333410511871
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333410512876
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1333410513311
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1333410517516
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1333410520241
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1333410574162
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333410574783
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1333410575078
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333410586731
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.navigate.open.type",1333410586865
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1333410592239
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1333410605021
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1333410606904
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333410615410
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333410616457
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1333410616863
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1333410622867
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333410628650
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333410629056
executed,command,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.project.cleanAction",1333410629158
error,log,,,"Unexpected error while validating OAuthConsumerInfoManager.java",1333410630335
error,log,,,"Unexpected error while validating FlickrServerConstants.java",1333410630346
error,log,,,"Unexpected error while validating FlickrHelper.java",1333410630348
error,log,,,"Unexpected error while validating FlickrAPIOAuth.java",1333410630349
error,log,,,"Unexpected error while validating FlickrPhotoDAOImpl.java",1333410630350
error,log,,,"Unexpected error while validating ProcessPhotosetActionController.java",1333410630352
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333410638758
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333410645034
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1333410775936
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1333410776588
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333410784070
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333410785205
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1333410785609
error,log,,,"Unexpected error while validating OAuthConsumerInfoManager.java",1333410785687
error,log,,,"Unexpected error while validating FlickrServerConstants.java",1333410785688
error,log,,,"Unexpected error while validating FlickrHelper.java",1333410785689
error,log,,,"Unexpected error while validating FlickrAPIOAuth.java",1333410785689
error,log,,,"Unexpected error while validating FlickrPhotoDAOImpl.java",1333410785699
error,log,,,"Unexpected error while validating ProcessPhotosetActionController.java",1333410785700
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1333410788750
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1333411139445
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333411140156
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1333411140481
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333411152307
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.navigate.open.type",1333411152430
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1333411153709
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.navigate.linkWithEditor",1333411153839
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.navigate.linkWithEditor",1333411153957
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1333411386281
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1333411387406
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333411388013
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1333411388333
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333411391292
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1333411391569
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.navigate.open.type",1333411391570
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1333411393110
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.navigate.linkWithEditor",1333411393193
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.navigate.linkWithEditor",1333411393334
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333411396436
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333411402834
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1333411405705
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333411407848
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333411409630
executed,command,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.project.cleanAction",1333411409714
error,log,,,"Unexpected error while validating OAuthConsumerInfoManager.java",1333411410554
error,log,,,"Unexpected error while validating FlickrServerConstants.java",1333411410565
error,log,,,"Unexpected error while validating FlickrHelper.java",1333411410566
error,log,,,"Unexpected error while validating FlickrAPIOAuth.java",1333411410567
error,log,,,"Unexpected error while validating FlickrPhotoDAOImpl.java",1333411410569
error,log,,,"Unexpected error while validating ProcessPhotosetActionController.java",1333411410570
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333411410658
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333411411266
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1333411412928
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1333411415300
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333411426551
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333411428889
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1333411429303
error,log,,,"Unexpected error while validating OAuthConsumerInfoManager.java",1333411429404
